TITLE: Bill of Materials
BOM NO: 05-057494-01-d.csv
DATE: 02/28/2021
DESIGN: 02_057494d_top
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom
CALLOUT: C:\tmp\20_057494d\worklib\02_057494d_top\bom\mech.callouts

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
1,1,08_057494d,PCB,?,?,?,?,?,?,Analog Devices Supplied,08_057494d,N/A,?,?,?,?,?,?,?
2,6,E020111,CAP CER 1uF 16V 10% X7R 0603," 1uF",C0603,10,16V,N/A,"C1,C4,C18,C20,C22,C29",AVX," 0603YC105KAT2A",REL,N/A,N/A,N/A,N/A,N/A,?,?
3,17,E019934,CAP CER 0.1uF 100V 5% X7R 1206," 0.1uF",C1206,5,100V,N/A,"C5,C6,C7,C8,C10,C11,C12,C14,C15,C16,C17,C19,C21,C23,C24,C25,C27",AVX," 12061C104JAT2A",REL,N/A,N/A,N/A,N/A,N/A,?,?
4,2,E040135,CAP CER 47pF 50V 10% X7R 0603 AEC-Q200," 47pF",C0603,10,50V,N/A,"C9,C13",KEMET," C0603C470K5RACAUTO",REL,N/A,N/A,N/A,N/A,N/A,?,?
5,2,E006166,CAP CER 10uF 16V 10% X5R 0805," 10uF",C0805H53,10,16V,N/A,"C2,C3",MURATA," GRM21BR61C106KE15L",REL,A004-0008-060,N/A,N/A,1447_CAB3,N/A,?,?
6,1,E041857,CAP CER 10pF 630V5% C0G/NP0 1206," 10pF",C1206H37,5,630V,N/A,C26,MURATA," GRM31A5C2J100JW01D",REL,N/A,N/A,N/A,N/A,N/A,?,?
7,1,E040628,CAP CER 250pF 25V 5% C0G 0603," 250pF",C0603,5,25V,N/A,C28,AVX CORPORATION," 06033A251JAT2A",REL,N/A,N/A,N/A,N/A,N/A,?,?
8,3,E015087,DIODE SWITCHING," BAV21W-7-F",SOD123-3,N/A,200V,1/4W,"D1,D11,D12",DIODES INCORPORATED," BAV21W-7-F",REL,N/A,N/A,N/A,N/A,7003779,?,?
9,1,E001129,DIODE SWITCHING," BAS16HT1G",SOD323,N/A,100V,N/A,D10,ON SEMICONDUCTOR," BAS16HT1G",REL,A002-0002-050,N/A,N/A,N/A,7003752,?,?
10,8,E034937,"DIO SMALL SIGNAL, 0.2A"," BAV23S",SOT23,N/A,250V,7/20W,"D2,D3,D4,D5,D6,D7,D8,D9",ONSEMI," BAV23S",REL,N/A,N/A,N/A,N/A,N/A,?,?
11,4,E018253,LED SMD 0603 RED," TLMS1000GS08",LED0603,N/A,N/A,N/A,"DS1,DS4,DS5,DS6",VISHAY," TLMS1000-GS08",REL,N/A,N/A,N/A,N/A,7004239,?,?
12,2,E026542,LED BRILLIANT ORANGE 611NM," 19-217/S2C-AL1M2VY/3T",LED0603_A,N/A,5V,0.06W,"DS2,DS3",EVERLIGHT AMERICAS INC.," 19-217/S2C-AL1M2VY/3T",REL,N/A,N/A,N/A,N/A,N/A,?,?
13,1,E004447,RES SMD 0 Ohm JUMPER 1/10W 0603 AEC-Q200," 0",R0603,JUMPER,N/A,1/10W,JP1,PANASONIC," ERJ-3GEY0R00V",REL,N/A,N/A,N/A,N/A,7008623,?,?
15,1,E018439,IND SHIELDED POWER," 47uH",LSMSQ236H138,20,N/A,N/A,L1,COILCRAFT," LPS6235-473MRB",REL,N/A,N/A,N/A,N/A,7005247,?,?
16,1,E030982,IC MAGNETIC BUZZER INDICATOR," AI-1223-TWT-5V-5-R",TORAD299D472H382,N/A,N/A,?,M1,"PUI AUDIO, INC."," AI-1223-TWT-5V-5-R",REL,N/A,N/A,N/A,N/A,N/A,?,?
17,1,E039719,MOD SENSITIVE SMALL GEIGER MULLER TUBE G-M 1X M044026," SI-29BG",MSI-29BG,N/A,N/A,N/A,M2,N/A," SI-29BG",REL,N/A,N/A,N/A,N/A,N/A,?,?
18,2,E020478,CONN-PCB RCPT 25MIL SQ POST 2.54MM P," SSQ-108-03-G-S",CNSAMTECSSQ-108-XX-X-S,N/A,N/A,N/A,"P1,P4",SAMTEC," SSQ-108-03-G-S",REL,N/A,N/A,N/A,N/A,N/A,?,?
19,1,E020477,CONN-PCB RCPT 25MIL SQ POST 2.54MM PITCH," SSQ-106-03-G-S",CNSAMTECSSQ-106-XX-X-S,N/A,N/A,N/A,P2,SAMTEC," SSQ-106-03-G-S",REL,N/A,N/A,N/A,N/A,N/A,?,?
20,1,E020479,CONN-PCB RCPT 25MIL SQ POST 2.54MM PITCH," SSQ-110-03-G-S",CNSAMTECSSQ-110-XX-X-S,N/A,N/A,N/A,P3,SAMTEC," SSQ-110-03-G-S",REL,N/A,N/A,N/A,N/A,N/A,?,?
21,1,E006296,CONN-PCB HEADER 2 POS," TSW-102-08-G-S",CNSAMTEC1X2H330LD36,N/A,N/A,N/A,P5,SAMTEC," TSW-102-08-G-S",REL,ADD_TO_STOCK_2,N/A,N/A,N/A,N/A,?,?
22,4,E025627,TRAN NPN SILICON," MMBT3904LT3G",SOT23,N/A,40V,N/A,"Q1,Q3,Q4,Q5",ONSEMI," MMBT3904LT3G",REL,N/A,N/A,N/A,N/A,N/A,?,?
23,1,E042109,"TRAN N-CH ENHANCEMENT MOSFET, 1.6A"," DMN10H220L-7",SOT23-M3,N/A,100V,N/A,Q2,DIODES INCORPORATED," DMN10H220L-7",REL,N/A,N/A,N/A,N/A,N/A,?,?
24,1,E026586,RES SMD 287K Ohm 1% 1/10W 0603," 287K",R0603,1,N/A,1/10W,R1,YAGEO," RC0603FR-07287KL",REL,N/A,N/A,N/A,N/A,N/A,?,?
26,3,E025582,RES SMD 127K Ohm 1% 1/16W 0603," 127K",R0603,1,N/A,1/16W,"R6,R12,R15",MULTICOMP (SPC)," MC0063W06031127K",REL,N/A,N/A,N/A,N/A,N/A,?,?
27,2,E032192,RES SMD 453K Ohm 1% 1/10W 0603 AEC-Q200," 453K",R0603,1,N/A,1/10W,"R13,R14",VISHAY," CRCW0603453KFKEA",REL,N/A,N/A,N/A,N/A,N/A,?,?
