Comment,Designator,Footprint,LCSC
1K,R18,R_0805_2012Metric,C100046
DMN10H220L-7,U3,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C102615
1Meg,"R10,R9",R_0805_2012Metric,C107700
3362P-1-205LF,R8,RES-ADJ-TH_3362P,C124582
BAS16HT1G,D4,SOD-323_L1.8-W1.3-LS2.5-RD,C131148
BAV21W-7-F,"D1,D2,D3",SOD-323_L1.8-W1.3-LS2.5-RD,C151350
1uF,"C1,C2,C26,C27,C28,C29",C_0603_1608Metric,C15849
10uF,"C3,C4",C_0805_2012Metric,C15850
100,R23,R_0805_2012Metric,C17408
200K,R13,R_0805_2012Metric,C17539
330,R21,R_0805_2012Metric,C17630
453K,"R17,R20",R_0805_2012Metric,C17702
47pF,"C21,C25",C_0603_1608Metric,C178330
221,R2,R_0805_2012Metric,C204308
127K,"R16,R19,R22",R_0805_2012Metric,C228282
TLMS1000-GS08,LED1,LED_0603_1608Metric,C2286
287K,R1,R_0603_1608Metric,C22972
0.1uF,"C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C22,C5,C6,C7,C8,C9",C_1206_3216Metric,C24497
2Meg,R15,R_0805_2012Metric,C26112
3Meg,"R14,R7",R_0805_2012Metric,C2907325
2.7Meg,R11,R_0805_2012Metric,C2933390
7.5 Meg,"R12,R6",R_0805_2012Metric,C2933569
30Meg,"R3,R4,R5",R_0805_2012Metric,C317991
10pF,C23,C_1206_3216Metric,C377014
BAV23S,"U10,U11,U4,U5,U6,U7,U8,U9",BAV23S_SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C44345
AI-1223-TWT-5V-5-R,U16,AI-1223-TWT-5V-5-R_PUI,C5250722
SN74LVC1G08DCKR_C5279048,U2,SC-70-5_L2.0-W1.3-P0.65-LS2.1-BR,C5279048
LTC1540IMS8#PBF,U13,MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL,C580397
LTC6994CS6-1-TRMPBF,U15,TSOT-23_S6_LIT,C581050
LTC1441CS8#PBF,U12,SOIC-8_L4.9-W3.8-P1.27-LS6.0-BL,C675522
LTC6906IS6#TRPBF,U1,TSOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,C689638
Conn_01x02,J1,PinHeader_1x02_P2.54mm_Vertical,
SI-29BG,U14,SI-29BG,
Conn_01x02,J3,PinHeader_1x02_P2.54mm_Vertical,
LPS6235-473MRB,L1,LPS6235473MRB,
250pF,C24,C_0603_1608Metric,
Conn_01x02,J4,PinHeader_1x02_P2.54mm_Vertical,
TestPoint,TP1,TestPoint_Pad_1.0x1.0mm,
Conn_01x02,J2,PinHeader_1x02_P2.54mm_Vertical,
